"First Name","Last Name","Sex"
"Hercules","Baer","M"
"Hercules","Biron","F"
"Hercules","Birge","F"
"Hercules","Berstel","F"
"Hercules","Bail","F"
"Hercules","Bernatsky","M"
"Hercules","Basagni","M"
"Hercules","Bodoff","M"
"Hercules","Benantar","F"
"Hercules","Bernardinello","F"
"Hercules","Baranowski","M"
"Hercules","Bisiani","F"
"Hercules","Benzmuller","M"
"Hercules","Biran","F"
"Hercules","Bahr","M"
"Hercules","Bain","F"
"Hercules","Brendel","F"
"Hercules","Buchter","M"
"Hercules","Barreiro","M"
"Hercules","Baak","M"
